model,year,price,transmission,mileage,mpg,engine
 5 Series,2014,11200,Automatic,67068,57.6,2
 6 Series,2018,27000,Automatic,14827,42.8,2
 5 Series,2016,16000,Automatic,62794,51.4,3
 1 Series,2017,12750,Automatic,26676,72.4,1.5
 7 Series,2014,14500,Automatic,39554,50.4,3
 5 Series,2016,14900,Automatic,35309,60.1,2
 5 Series,2017,16000,Automatic,38538,60.1,2
 2 Series,2018,16250,Manual,10401,52.3,1.5
 4 Series,2017,14250,Manual,42668,62.8,2
 5 Series,2016,14250,Automatic,36099,68.9,2
 X3,2017,15500,Manual,74907,52.3,2
 1 Series,2017,11800,Manual,29840,68.9,2
 X3,2016,15500,Automatic,77823,54.3,2
 2 Series,2015,10500,Manual,31469,68.9,2
 X3,2017,22000,Automatic,19057,54.3,2
 3 Series,2017,16500,Manual,16570,58.9,2
 3 Series,2017,14250,Automatic,55594,148.7,2
 3 Series,2017,16000,Automatic,45456,64.2,2
 1 Series,2017,15500,Automatic,22812,68.9,1.5
 4 Series,2014,14000,Automatic,47348,60.1,2
 1 Series,2015,9700,Automatic,75124,70.6,2
 3 Series,2015,12600,Automatic,78957,62.8,2
 3 Series,2016,15100,Automatic,29213,64.2,2
 1 Series,2016,9400,Manual,44498,83.1,1.5
 1 Series,2016,14300,Automatic,22461,67.3,2
 1 Series,2016,11200,Manual,23005,53.3,1.5
 3 Series,2019,17800,Automatic,22310,64.2,2
 3 Series,2016,14400,Automatic,51994,62.8,2
 X5,2016,19750,Automatic,96213,52.3,2
 X3,2015,17400,Automatic,50316,47.9,3
 4 Series,2017,16800,Automatic,44011,65.7,2
 X4,2017,23000,Automatic,34960,54.3,2
 i3,2016,17100,Automatic,25269,470.8,0.6
 1 Series,2017,20500,Automatic,24029,39.8,3
 1 Series,2017,11900,Manual,22920,53.3,1.5
 2 Series,2017,13000,Automatic,61818,141.2,1.5
 3 Series,2015,11500,Manual,59634,61.4,2
 1 Series,2016,13500,Manual,29226,62.8,2
 X1,2017,18900,Automatic,33514,60.1,2
 1 Series,2018,14600,Automatic,6522,37.2,1.5
 3 Series,2016,15800,Manual,11231,47.9,2
 1 Series,2016,11400,Manual,21591,53.3,1.5
 X3,2013,12000,Automatic,79972,47.1,3
 1 Series,2018,17500,Automatic,14037,54.3,1.5
 5 Series,2017,23500,Automatic,25034,47.9,3
 X1,2016,16700,Automatic,44478,60.1,2
 X3,2017,18000,Automatic,74852,47.1,3
 4 Series,2016,15500,Automatic,45856,65.7,2
 1 Series,2016,9200,Manual,48858,83.1,1.5
 1 Series,2017,11200,Manual,40399,68.9,2
 1 Series,2016,13200,Manual,17393,65.7,2
 5 Series,2014,11000,Automatic,84816,62.8,2
 3 Series,2017,18500,Automatic,27139,51.4,3
 1 Series,2017,12750,Automatic,91563,60.1,2
 3 Series,2014,14000,Manual,32139,43.5,2
 X1,2017,14000,Automatic,54120,65.7,2
 X1,2017,14000,Manual,20925,68.9,2
 3 Series,2016,12750,Manual,30521,68.9,2
 X1,2018,18000,Manual,16066,51.4,1.5
 1 Series,2015,11100,Manual,11524,83.1,1.5
 1 Series,2017,12700,Manual,21809,53.3,1.5
 1 Series,2017,14500,Automatic,27245,68.9,2
 3 Series,2013,12750,Automatic,35736,58.9,2
 X1,2017,14100,Automatic,55782,65.7,2
 1 Series,2016,10800,Manual,26404,53.3,1.5
 1 Series,2016,13000,Manual,26631,52.3,1.5
 1 Series,2016,12500,Manual,24111,47.1,1.6
 3 Series,2017,13600,Manual,22763,48.7,2
 3 Series,2016,12700,Manual,17385,72.4,2
 5 Series,2016,15600,Automatic,35474,60.1,2
 4 Series,2016,15250,Manual,16584,62.8,2
 1 Series,2018,11700,Manual,30273,53.3,1.5
 2 Series,2017,10900,Manual,62021,65.7,2
 5 Series,2016,14400,Automatic,51552,62.8,2
 1 Series,2016,11100,Manual,29508,53.3,1.5
 1 Series,2017,11100,Manual,30865,72.4,1.5
 5 Series,2014,12400,Automatic,46356,62.8,2
 1 Series,2016,12800,Manual,18343,70.6,1.5
 5 Series,2014,15000,Automatic,13858,57.6,2
 2 Series,2017,12750,Manual,33752,52.3,1.5
 X3,2016,21750,Automatic,19083,54.3,2
 2 Series,2017,13900,Automatic,46281,51.4,1.5
 X1,2017,14000,Automatic,54183,65.7,2
 X1,2017,15200,Automatic,36701,65.7,2
 3 Series,2017,13500,Automatic,48082,51.4,2
 X1,2016,12150,Manual,77482,68.9,2
 2 Series,2017,16000,Automatic,32389,141.2,1.5
 5 Series,2016,14000,Automatic,39235,62.8,2
 3 Series,2018,19490,Automatic,30703,57.6,2
 1 Series,2015,15499,Semi-Auto,20000,60.1,2
 2 Series,2017,13000,Semi-Auto,34971,72.4,1.5
 1 Series,2014,10600,Semi-Auto,44900,64.2,2
 X3,2017,23000,Semi-Auto,16945,54.3,2
 M4,2016,29998,Semi-Auto,34209,34,3
 1 Series,2017,12498,Manual,14138,72.4,1.5
 1 Series,2015,7948,Manual,74375,65.7,2
 X1,2017,17800,Automatic,31238,55.4,2
 3 Series,2015,13100,Manual,37204,64.2,2
 1 Series,2017,11400,Manual,26265,83.1,1.5
 3 Series,2016,14800,Automatic,38838,57.6,2
 X3,2016,15900,Automatic,59692,54.3,2
 3 Series,2016,16300,Automatic,34623,57.6,2
 3 Series,2017,14800,Manual,29968,64.2,2
 3 Series,2017,19700,Automatic,27748,49.6,3
 3 Series,2015,14450,Automatic,47288,62.8,2
 5 Series,2016,13500,Automatic,64117,65.7,2
 5 Series,2015,10900,Automatic,79563,60.1,2
 3 Series,2016,12200,Manual,34842,67.3,2
 2 Series,2016,10600,Manual,24313,74.3,1.5
 2 Series,2015,9100,Manual,40789,74.3,1.5
 3 Series,2017,12600,Automatic,66743,67.3,2
 5 Series,2016,13600,Automatic,65612,62.8,2
 1 Series,2016,11700,Manual,21390,72.4,1.5
 3 Series,2017,12450,Automatic,72065,70.6,2
 5 Series,2016,13500,Automatic,62444,60.1,2
 X3,2013,12750,Automatic,71558,50.4,2
 X1,2017,16700,Automatic,34666,65.7,2
 1 Series,2016,11400,Manual,22920,72.4,1.5
 X5,2016,21000,Automatic,71626,85.6,2
 X1,2017,14700,Manual,38405,68.9,2
 3 Series,2018,19000,Automatic,20681,64.2,2
 3 Series,2017,15400,Automatic,20529,65.7,2
 X3,2016,19000,Automatic,42691,54.3,2
 1 Series,2018,15000,Automatic,10058,37.2,1.5
 3 Series,2016,17950,Automatic,40337,53.3,3
 5 Series,2018,22600,Automatic,23195,65.7,2
 1 Series,2017,13200,Manual,17117,53.3,1.5
 3 Series,2017,12750,Manual,22153,68.9,2
 3 Series,2015,9750,Manual,56038,68.9,2
 3 Series,2017,10900,Automatic,78345,74.3,2
 X4,2016,21400,Automatic,31084,54.3,2
 1 Series,2017,14600,Automatic,5615,58.9,1.5
 3 Series,2017,12600,Automatic,55751,51.4,1.5
 X4,2017,22500,Automatic,35016,54.3,2
 1 Series,2016,8000,Manual,81579,83.1,1.5
 X1,2017,14800,Manual,31518,60.1,2
 1 Series,2016,9900,Manual,44008,83.1,1.5
 2 Series,2016,9500,Manual,59509,68.9,2
 3 Series,2017,17950,Automatic,43703,134.5,2
 1 Series,2016,14200,Automatic,36858,60.1,2
 1 Series,2016,12100,Automatic,25786,74.3,2
 1 Series,2016,12700,Automatic,24592,68.9,2
 1 Series,2016,8800,Manual,51002,83.1,1.5
 1 Series,2017,15000,Automatic,26052,68.9,2
 3 Series,2017,17100,Automatic,31528,64.2,2
 X3,2017,21750,Automatic,25776,47.9,3
 1 Series,2016,13400,Manual,18055,52.3,1.5
 3 Series,2014,9900,Automatic,63223,68.9,2
 1 Series,2016,13700,Manual,8719,52.3,1.5
 4 Series,2018,16900,Automatic,27133,44.8,2
